"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",3.94060996307768,0.576667776681928,2.37803390399567,0.0218140343674574,1.23261507034548,12.5979369023573
"age_band50-59",0.684491921843353,0.309320527412133,-1.22551981608991,0.226898974469624,0.366970800441262,1.27674787886509
"age_band60-69",0.416697214674924,0.327537012650292,-2.67266107649386,0.0105153311084163,0.215347365840898,0.806309229926337
"age_band70+",0.245058435096486,0.307112421413987,-4.57897007162405,3.81974462926267e-05,0.131967050879316,0.455065383455887
"sexFemale",1.32729009716265,0.155200206874013,1.82434900337148,0.0748945324195436,0.970789013889888,1.81470842461126
"race_ethNon-Hispanic Asian",0.797800967449525,0.279782106381336,-0.807400193624214,0.423779325935342,0.453953771064095,1.40209515645488
"race_ethNon-Hispanic Black",0.820117818901908,0.232955795935851,-0.851265651754656,0.399231080243775,0.512836178552325,1.31151674747104
"race_ethNon-Hispanic White",0.921898361113659,0.217697878555368,-0.373546584126637,0.710535532179226,0.594483959702544,1.42963754421449
"race_ethOther / Multiracial",0.891594958862508,0.350719693164544,-0.3271653510128,0.745094277502624,0.439739651274161,1.80775503952319
"race_ethOther Hispanic",1.78557927796936,0.304658620813393,1.90292625401443,0.0636061229206077,0.966323883725843,3.29940448705512
"insured_fUninsured",1.39452001963693,0.254980092767399,1.30422057860614,0.198939964487527,0.834161436033422,2.33130662862515
"insured_fUnknown",1.15376794614454e-05,0.816818373069504,-13.9197314586695,1.00233580105579e-17,2.22427026499509e-06,5.98479642739607e-05
"routine_place_fUnknown",0.478894991505272,0.851847512582631,-0.864325972834095,0.392096541579849,0.0860299501972459,2.66582059344464
"routine_place_fUsual source of care",0.873740723555783,0.429104942330135,-0.314542176034995,0.754596006311537,0.36796193299447,2.07473323609064
"diabetes_dx",0.676171837903436,0.157745576697683,-2.48062763693184,0.0170114382337124,0.492026177576733,0.929235831771182
"hypertensive",1.49089540496673,0.153469822832813,2.60231539349097,0.012570571382537,1.09426048374478,2.03129797847048
"obese",1.15197712183645,0.166458685697454,0.849938841981899,0.399960380143894,0.823661417111424,1.61116116606329
"current_smoker",1.13432608808578,0.150938794104338,0.835031976692758,0.408210986334092,0.836809835728452,1.53762016072853
"statin_use",0.303887768457501,0.441953872602425,-2.69507046387556,0.0099285715162904,0.124705997417029,0.740523934139747
