"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",40.118427951658,0.297367038156922,12.4150807081727,3.91186741524518e-16,22.0410763516747,73.022217047494
"age_band50-59",0.343994620212986,0.153555946633401,-6.94944926616504,1.21101011387246e-08,0.252484147821139,0.468672190934155
"age_band60-69",0.20190945407345,0.142275230645829,-11.2453581833766,1.16017514146227e-14,0.151602554836489,0.268909898571355
"age_band70+",0.134706303603278,0.173600532886842,-11.5475359779901,4.75198065211275e-15,0.0949592125733663,0.191090340144079
"sexFemale",1.32490405817743,0.0848597226736198,3.31535431686366,0.0018152379311036,1.1167512414105,1.57185476790509
"race_ethNon-Hispanic Asian",0.787870784944245,0.193213351431744,-1.23397880788575,0.223616785825716,0.533886052852435,1.16268325507322
"race_ethNon-Hispanic Black",0.956071106827918,0.128705106361022,-0.349038126301174,0.728688672891824,0.737751390734898,1.23899727305241
"race_ethNon-Hispanic White",0.723530333470918,0.12027142781711,-2.69068733654563,0.00997166946438001,0.567876167992208,0.921849115984951
"race_ethOther / Multiracial",0.658472617422894,0.286424110507484,-1.45878900063161,0.151568418628025,0.369826939607596,1.17240293082979
"race_ethOther Hispanic",1.03871928463687,0.158242990563583,0.240064328105229,0.811370628419402,0.755232789832198,1.42861613902683
"insured_fUninsured",2.6481321675304,0.183312428300776,5.31253967920097,3.22811868734914e-06,1.83060106908067,3.83076580427814
"insured_fUnknown",2.4618133890402,0.921685099651854,0.977446883690838,0.33357363578016,0.384630996754021,15.7567258323005
"routine_place_fUnknown",0.114929342140721,0.565003184367029,-3.82907179194253,0.000395273195628642,0.0368311036107476,0.358630407182381
"routine_place_fUsual source of care",0.247067500821855,0.245635763836622,-5.69173509253074,8.93581459956024e-07,0.150644952107786,0.405206740141427
"diabetes_dx",0.23914027672427,0.13378122519836,-10.6943628689732,6.08938597130551e-14,0.182655358915114,0.313092768213484
"hypertensive",1.27539699421549,0.114678004144896,2.12122193764573,0.0394455906652866,1.01235990134151,1.60677787681872
"obese",0.793297646414151,0.103078377563049,-2.24641472811749,0.0296310601874776,0.644572936729426,0.976338161200838
"current_smoker",0.961021882518225,0.0900051237480893,-0.441731515328984,0.660799025849828,0.801686436533203,1.15202530140426
