"age_band","sex","race_eth","untreated","untreated_low","untreated_upp","statin_use","statin_use_low","statin_use_upp","residual_risk","residual_risk_low","residual_risk_upp"
"70+","Male","Non-Hispanic Asian",0.370434413819209,0.268445941804591,0.472422885833826,0.615035923599144,0.517527985872355,0.712543861325933,0.0909038738700268,0.0384198714336101,0.143387876306443
"70+","Male","Non-Hispanic Black",0.463225567156212,0.385397515103793,0.541053619208631,0.518063855079579,0.442236485522265,0.593891224636894,0.0819695375026244,0.04866413970806,0.115274935297189
"70+","Male","Non-Hispanic White",0.391023563525382,0.343235228571863,0.438811898478902,0.583269896888452,0.536321396997744,0.630218396779159,0.136685560918105,0.10934401090651,0.164027110929699
"70+","Male","Other / Multiracial",0.417356485006255,0.231667105389885,0.603045864622624,0.557745066300628,0.372613437407836,0.742876695193421,0.0629576415033562,0.00680237973891816,0.119112903267794
"70+","Male","Other Hispanic",0.521547715372356,0.407006636901537,0.636088793843175,0.478452284627644,0.363911206156825,0.592993363098463,0.110387426451801,0.0359350876051393,0.184839765298463
"70+","Female","Mexican American",0.444261785417997,0.350094891557299,0.538428679278696,0.485329445996191,0.398753236538067,0.571905655454316,0.19688433418683,0.128941293414835,0.264827374958826
"70+","Female","Non-Hispanic Asian",0.470621087024249,0.368000581241181,0.573241592807317,0.51168400821085,0.412018596990516,0.611349419431184,0.127012745560586,0.0503053921318479,0.203720098989325
"70+","Female","Non-Hispanic Black",0.500769531202291,0.434417547633459,0.567121514771123,0.479154785257459,0.413837393627885,0.544472176887033,0.176395307564649,0.124989826071542,0.227800789057757
"70+","Female","Non-Hispanic White",0.520161618043306,0.481817198957983,0.55850603712863,0.45335376037545,0.413467447599548,0.493240073151351,0.161498042621127,0.133820596124615,0.189175489117639
"70+","Female","Other / Multiracial",0.646369238245813,0.440967452577365,0.85177102391426,0.353630761754187,0.14822897608574,0.559032547422635,0.179461564955095,0.0150902497407524,0.343832880169437
"70+","Female","Other Hispanic",0.463701963096698,0.397687705418496,0.529716220774901,0.505703011012743,0.437869824898477,0.573536197127008,0.215520396305433,0.138670342543283,0.292370450067582
